	0	1	2	3
0	297.0	300.0	0.45908145180123766	2.0
1	172.0	301.0	0.7206210126007009	2.0
2	65.0	201.0	0.9685578726461241	2.0
3	293.0	329.0	1.2524683511697643	3.0
4	37.0	145.0	1.3474952832015012	2.0
5	99.0	330.0	1.361229833448052	4.0
6	327.0	328.0	1.5496725993185356	4.0
7	14.0	313.0	1.5683336454125505	2.0
8	43.0	136.0	1.6763528871310809	2.0
9	21.0	332.0	1.7201359097412634	5.0
10	7.0	248.0	1.983015170119406	2.0
11	315.0	331.0	1.9915177244744542	3.0
12	74.0	94.0	2.02314544441073	2.0
13	242.0	334.0	2.125953017014236	3.0
14	155.0	223.0	2.2020112777743273	2.0
15	141.0	142.0	2.2694638288310856	2.0
16	29.0	137.0	2.287144240814757	2.0
17	16.0	270.0	2.2917533341093455	2.0
18	220.0	274.0	2.3059838122763487	2.0
19	86.0	335.0	2.3162271993472783	3.0
20	49.0	238.0	2.3878833524362055	2.0
21	253.0	338.0	2.4333647198228974	4.0
22	26.0	224.0	2.435595653417977	2.0
23	10.0	47.0	2.4838879147176947	2.0
24	41.0	110.0	2.573395773726614	2.0
25	125.0	127.0	2.6013552128058985	2.0
26	161.0	276.0	2.6156776077698813	2.0
27	56.0	307.0	2.629562096807896	2.0
28	228.0	255.0	2.6380149915754716	2.0
29	73.0	310.0	2.666083332264118	2.0
30	246.0	343.0	2.710481402056774	3.0
31	59.0	90.0	2.712086832361195	2.0
32	167.0	191.0	2.712950418693136	2.0
33	175.0	347.0	2.7168898086538356	3.0
34	38.0	193.0	2.7176289462115806	2.0
35	337.0	346.0	2.7232944416165457	5.0
36	78.0	304.0	2.766013434317133	2.0
37	54.0	324.0	2.769887225483814	2.0
38	9.0	216.0	2.7986719637609245	2.0
39	19.0	205.0	2.81656449446361	2.0
40	138.0	229.0	2.8437279194518226	2.0
41	290.0	305.0	2.847262184159949	2.0
42	22.0	112.0	2.8644116121599352	2.0
43	202.0	272.0	2.87357114654044	2.0
44	60.0	219.0	2.8901024161943645	2.0
45	164.0	221.0	2.9099200476909135	2.0
46	179.0	230.0	2.912822083368315	2.0
47	50.0	204.0	2.934809292607194	2.0
48	105.0	295.0	3.017428589061216	2.0
49	344.0	370.0	3.0211946841825097	4.0
50	333.0	340.0	3.026958061653789	7.0
51	134.0	264.0	3.0387395841461506	2.0
52	233.0	273.0	3.15930492641915	2.0
53	45.0	160.0	3.1894815963910825	2.0
54	239.0	292.0	3.1899670294281326	2.0
