	0	1	2	3
0	93.0	525.0	0.0	2.0
1	353.0	475.0	0.0	2.0
2	40.0	103.0	0.0	2.0
3	25.0	232.0	0.0	2.0
4	330.0	567.0	0.0	3.0
5	506.0	513.0	0.0	2.0
6	282.0	557.0	0.0	2.0
7	30.0	102.0	0.0	2.0
8	368.0	446.0	0.0	2.0
9	35.0	374.0	0.0	2.0
10	483.0	573.0	0.0	3.0
11	492.0	574.0	0.0	4.0
12	497.0	575.0	0.0	5.0
13	501.0	576.0	0.0	6.0
14	63.0	233.0	0.0	2.0
15	273.0	578.0	0.0	3.0
16	486.0	579.0	0.0	4.0
17	519.0	580.0	0.0	5.0
18	528.0	581.0	0.0	6.0
19	139.0	231.0	0.0	2.0
20	487.0	583.0	0.0	3.0
21	498.0	584.0	0.0	4.0
22	514.0	585.0	0.0	5.0
23	520.0	586.0	0.0	6.0
24	21.0	150.0	0.0	2.0
25	254.0	588.0	0.0	3.0
26	381.0	589.0	0.0	4.0
27	427.0	590.0	0.0	5.0
28	436.0	591.0	0.0	6.0
29	485.0	592.0	0.0	7.0
30	488.0	593.0	0.0	8.0
31	502.0	594.0	0.0	9.0
32	521.0	595.0	0.0	10.0
33	55.0	391.0	0.0	2.0
34	411.0	597.0	0.0	3.0
35	531.0	598.0	0.0	4.0
36	539.0	599.0	0.0	5.0
37	230.0	389.0	0.0	2.0
38	515.0	601.0	0.0	3.0
39	445.0	453.0	0.0	2.0
40	119.0	489.0	0.36481284872134867	2.0
41	47.0	496.0	0.36900608159270154	2.0
42	482.0	523.0	0.4070025894460468	2.0
43	29.0	432.0	0.41464105192206085	2.0
44	393.0	537.0	0.4395765130972112	2.0
45	42.0	126.0	0.44418060945463494	2.0
46	222.0	223.0	0.4476479358411531	2.0
47	149.0	294.0	0.46172763654892696	2.0
48	65.0	406.0	0.5041200549353204	2.0
49	392.0	608.0	0.5418384815610136	3.0
50	246.0	437.0	0.5475532376658443	2.0
51	226.0	613.0	0.5706089851017601	4.0
52	490.0	614.0	0.5782957204413045	3.0
53	227.0	553.0	0.5876983816797675	2.0
54	382.0	511.0	0.5917883062105067	2.0
55	209.0	604.0	0.5947129153197062	3.0
56	144.0	606.0	0.6049386824499396	3.0
57	324.0	568.0	0.6237440736999227	4.0
58	570.0	616.0	0.6444019646990061	5.0
59	340.0	438.0	0.6537235656341654	2.0
60	19.0	566.0	0.661919602074676	3.0
61	503.0	618.0	0.6709020985321561	3.0
62	335.0	565.0	0.6898757371718893	3.0
63	320.0	623.0	0.7052822624518966	3.0
64	166.0	522.0	0.744174005246138	2.0
65	168.0	491.0	0.7510560541529641	2.0
