	pausedE141	pausedE142	pausedE143	pausedTS1	pausedTS2	pausedTS3	wtE141	wtE142	wtE143	wtTS1	wtTS2	wtTS3
mmu-let-7b-5p	-1.99894760277923	-1.92471261996869	-1.50395037117118	-1.50960639175875	-1.66181647951816	-1.0958835362280799	-1.31420810625446	0.929056266942616	-1.16122953932175	1.7818430605216298	-0.21706267596587803	-1.30925812193358
mmu-let-7d-5p	0.902454937645349	1.6358138657536299	1.8692578937790099	3.2074928937367004	3.15215888192985	3.3184642081679	1.1265986046006002	0.344550420779729	1.38932926820871	4.26836662337721	4.15497241982706	4.74068133059534
mmu-let-7d-3p	-1.6129885958205301	-1.55561134205167	-0.009484895638681521	-1.1718196305136699	-1.33653540247802	0.10822322166139099	-0.9603672891404691	0.566818997973297	-0.794819899231922	1.8023122978530801	1.24783684892997	1.3529950168523202
mmu-let-7e-5p	-1.0149759943311298	0.6301248607475028	1.4341896557861298	4.15730398873593	5.0328793961449	4.72794203954863	2.25363765353594	0.3731086042781261	2.08636853207872	4.3306802512523	3.5188365329903197	4.34026736316068
mmu-let-7e-3p	-1.8938680576435	-1.8748079727138103	-1.64118323629666	-0.9604214367618219	-1.72883707895285	-0.833238259486381	-1.5358304230272999	-1.39394976712349	-1.4508903470597698	-1.52866174162597	-0.8857878650289759	-1.53308198543448
mmu-let-7f-2-3p	-1.70201022399382	-1.10633300116006	-1.4778005617180703	-1.4810611443881	-0.490696415622685	-0.9172899033173779	-1.36841794346561	-1.2211102718379299	-1.2802288613180202	-0.7224363512326031	-1.4035727961197	-1.3655643765728402
mmu-let-7g-5p	3.21960141806813	3.2387399518081303	4.072753417704971	4.90682015956222	4.7094493649091795	5.676145392059059	2.7860040962215096	2.5364890210653903	3.6084225354114197	5.620879656023639	5.42934805071941	5.97167197889029
mmu-let-7i-5p	1.2034811825687801	0.0736589282015512	0.761376717507817	1.80553671580214	1.52546672018054	3.0192486309557096	2.16624094766202	2.9875784587650798	1.99272013594596	3.49271979185624	3.06778187210658	3.3650399120172296
mmu-let-7i-3p	-1.5523814291026399	-0.613079318478432	-1.18666382679696	-1.19206754402546	-0.328421118680284	-0.034938949745592994	-1.00538557116969	-0.761254664634381	-0.859231061134232	0.7353184016728329	1.01073602907754	0.6993764908925388
mmu-miR-101a-5p	-0.44101693118068	-1.3498472159861499	-0.958611006786469	1.8430891343034699	1.33563858094882	-0.5860652287845172	0.48474449387019103	-0.44555720275768296	-0.5637191216823879	0.795321359567555	2.28959112226578	1.60475906805325
mmu-miR-101a-3p	6.37652118431726	6.11088276932727	5.73519754048358	7.22943399120652	7.150426907310849	8.18026742712008	5.63184588953719	5.75320578887915	5.79298598234105	7.91107403614506	7.01142719781079	7.64472843520938
mmu-miR-101b-5p	-2.08342699669232	-2.03868081239059	-1.80420725731336	-0.58439008501394	-1.89217956888862	-2.1116978274111204	-1.69847167021976	-1.5560755254594099	-1.6132229851444098	-1.69173966874127	-1.73245439109402	-1.00932619643666
mmu-miR-101b-3p	5.33490533578278	5.23583137740637	4.97661841047248	5.79041004094321	5.50201886778391	6.608047068202491	4.939532661156839	5.69957850785288	5.27954658410662	5.88236484778851	4.66135222629648	4.80737614999183
mmu-miR-103-2-5p	-1.63705121789034	-0.438714387853605	-1.3445707920104	-0.48202487669445393	-0.629300195478527	-0.64011403416389	-1.19934868324103	-1.0037752817861199	-1.08226422608945	-1.1911925409680901	-1.24602211195819	0.288309555953725
mmu-miR-106a-5p	8.07256989446397	8.20465902017309	8.22079409723295	0.0875804800746858	-0.174368100180176	-0.978873218420399	8.18796956663705	8.27817633619896	8.43138303982164	1.2015029540933002	1.24793848717251	0.4261521588110179
mmu-miR-106a-3p	-0.29524486942027395	0.8819713468373729	0.39987041160813397	-1.3592895118886799	-1.5137516666103898	-1.8821620415128701	-1.1610001563525	1.5158290223580801	0.19068180782888397	-2.0152899930226997	-1.2228843448313502	-1.15597693315293
mmu-miR-106b-5p	4.43532054440353	4.66949711937498	4.56338067454825	2.63514784583558	3.79680281886863	3.9984958899728	4.16343238434434	5.01197965047115	4.49167938799435	3.57692270274323	2.91334853205383	3.7958366190320803
mmu-miR-106b-3p	3.04171150391387	2.9608321002743705	3.62689820421951	3.2498970359575803	3.3036228065233906	2.37656629789115	3.9043310953456603	2.7986623806797404	2.15629481018507	2.42471908282097	3.01443812863303	1.88471005771615
mmu-miR-107-3p	-2.04672864221486	-2.00724768501157	-1.80036433757602	-1.19752457816569	-1.8779850581487	-1.26678012741282	-1.70707052372233	-1.5814299538071699	-1.6318529439528102	-2.07767932237673	-1.13143378920234	-1.7046366805508402
mmu-miR-10a-3p	-1.83477066050232	-2.21306848831603	-2.0668222170387502	-2.06878810614492	-2.12169246685983	-2.2793911154473703	-2.00087262477595	-1.9120570429565	-1.9477011602180299	-2.28862972646297	-2.02206838910886	-1.5710375592599601
mmu-miR-1187	0.0783818810107713	-1.3832172996974799	-0.990278662709372	0.8200150903751551	-1.15813437472096	-0.6126137286982729	0.44911378522596096	1.9861440267414798	2.15111412509251	0.20936846368827697	1.0265572174027702	0.455821912229675
mmu-miR-1190	-2.4106768857745497	-2.3883957297856098	-2.27164070502802	-2.2732101633756203	-2.3154461116231	-2.44174217686287	-1.87720689298296	-2.14808465417098	-2.17654096801055	-2.4671590821271403	-2.23591169640225	-2.2176166131689903
mmu-miR-1191a	1.77454307245399	1.6355053322833801	-0.794866888753807	-0.800119204849591	0.158181361202669	1.13523176840037	2.0699376933728897	2.17537158949991	1.5485723678641001	-0.265813643323398	-0.6528046300468979	0.650671653182223
mmu-miR-1193-3p	4.48963396435741	3.9618299679198996	3.89054337301539	1.7503867480073798	0.374839136408056	-0.40905533080824397	3.3694601674287004	3.51044219746589	3.06562401179272	-0.797938674353216	-0.330527789374195	-0.245063416903513
mmu-miR-1195	1.15350294287612	-0.13382962036854698	2.37950204109181	-0.701656850638342	0.21576382815204104	0.748533589795179	1.75504833798045	1.04104549748506	0.8993479251507119	0.6091296547349561	1.23403150398081	0.695521766368728
mmu-miR-1197-5p	-2.23810412203111	-1.7796694577723997	-2.06028891681397	-2.06229611779331	-2.11631222903027	-2.2769288779412595	-1.5558423126510101	-1.90227145387015	-1.9386646089319302	-2.28656960265046	-2.01459461647514	-1.99119679324581
mmu-miR-1197-3p	0.0214881583765522	-0.44911802840253895	-1.4515717371944699	-1.45629659000641	-1.5834478706675401	-1.85789194351534	-0.291198153420917	-0.050668186335824004	-0.136335891163826	-1.92781773329595	-1.3440095918651203	-1.2889322617840901
mmu-miR-1198-5p	0.9531589048752479	0.8988386197465491	-0.97034577417042	1.02152233308638	-0.10026314728884698	0.171808813142144	0.304476239600294	-0.5253129503924401	-0.627808891420754	-0.40647965062771996	0.23197513761478897	-0.7757580224148829
mmu-miR-12188-5p	-1.46900453147185	-1.97543919786657	-1.7640215905436798	-1.1479693992316298	-1.8433435235342899	-2.02218075079095	-1.6686830572713602	-1.5402888244661999	-1.5918169346925601	-1.66225316324159	-1.6993242335660201	-1.04730173724729
mmu-miR-1247-5p	-2.20206870030424	-2.17979262826989	-2.06306424383757	-1.7229280653592198	-2.10685965522874	-1.9223673555221001	-2.01042570959274	-1.93953638511523	-1.96798620599693	-2.23306826096626	-2.02734338760108	-2.00905247880887
