	diapaused_ICM	mTor_ICM	paused_E14	cluster
mmu-miR-1198-5p	-1.68017085585704	-2.64327806129557	1.3414552096318	6
mmu-miR-134-5p	-2.5109579311084302	-1.2113442776340602	0.862062969496859	6
mmu-miR-17-5p	-1.3057630196901	-2.43148045077711	-0.626281824208967	6
mmu-miR-186-5p	-1.1189054560695602	-3.00787822144121	-0.614630686339955	6
mmu-miR-18a-5p	-1.6203267029952901	-2.6264135163741003	-0.171516274557994	6
mmu-miR-20a-5p	-1.22153618755948	-1.82911224170212	0.21424024065654798	6
mmu-miR-2137	-2.20750742233657	-0.20206618861502	0.831234070255072	6
mmu-miR-296-3p	-1.1866950173088702	-2.1178828098212503	0.532599814798964	6
mmu-miR-30e-3p	-2.07162969292148	0.131524597055736	0.40237562420079	6
mmu-miR-340-5p	-1.49282445207456	-3.6534802698225897	2.12266906980165	6
mmu-miR-382-5p	-1.80096224769781	-1.21341791537817	0.258955314192417	6
mmu-miR-5126	-2.46541395996829	-0.132136290746354	0.575399313280171	6
mmu-miR-672-5p	-2.38148719297594	-3.18142466773305	0.34608530180073804	6
