	diapaused_ICM	mTor_ICM	paused_E14	cluster
mmu-let-7e-5p	-0.394131861968568	-1.40011024569703	-1.63584523860123	2
mmu-miR-291b-3p	-0.015539093631298	-1.23859689040227	-2.19029275249309	2
mmu-miR-298-5p	0.324620937153216	-2.52387902266145	-0.909383226282101	2
mmu-miR-301a-3p	0.45385693634203206	-1.12051446875168	-1.71820781558658	2
mmu-miR-324-5p	1.0310967887488	-0.601569914538314	-2.20785752745033	2
mmu-miR-330-3p	0.44079654629524395	-1.0625326737152199	-2.60506613618525	2
mmu-miR-374b-5p	0.31981019713944103	-1.54848071687534	-1.10731783417202	2
mmu-miR-466f-3p	0.00178501875787513	-2.2540500197162996	-3.70524916269525	2
mmu-miR-466g	0.134203708123741	-1.40885946362968	-3.36959022040219	2
mmu-miR-466n-3p	0.636519926633928	-1.1595848885384699	-2.9004100117759597	2
mmu-miR-467c-5p	0.36513914155058796	-0.7764705749995241	-2.20724531723197	2
mmu-miR-467d-5p	-0.7156516968382941	-2.34796899864009	-2.5522697030380095	2
mmu-miR-5099	0.904865748734578	-1.7280340739011597	-1.62108148593929	2
mmu-miR-6539	-0.8926243846029079	-0.8630077313407059	-2.74797365857121	2
