	diapaused_ICM	mTor_ICM	paused_E14	cluster
mmu-let-7b-5p	-0.284797051176397	1.64040563089262	-2.58667456375522	0
mmu-let-7d-3p	0.22428877362217103	0.199053736021308	-1.1236511286946298	0
mmu-let-7i-5p	1.2311820449835702	0.5175702860063139	-2.0676672885873	0
mmu-miR-101b-3p	0.805496807275075	0.545978096858002	-0.13302137795747698	0
mmu-miR-106b-3p	1.1406452831500802	0.49479892461816294	0.0301056522933433	0
mmu-miR-125a-3p	0.23364818885211103	0.0	-1.67243387791983	0
mmu-miR-126a-3p	0.569900953126744	-0.21294752867375896	-0.308753386778544	0
mmu-miR-151-3p	0.83798597341499	0.0	0.251827037572755	0
mmu-miR-15a-5p	1.5833815895209802	1.39010361742273	-0.53509368201286	0
mmu-miR-16-1-3p	0.0	0.771594093092235	-0.979820205736126	0
mmu-miR-17-3p	0.681298713434961	0.0	-0.52772186265266	0
mmu-miR-181c-5p	0.0	0.0	-0.7259623203288	0
mmu-miR-1839-3p	0.551763474334273	0.0	-1.53056646473557	0
mmu-miR-185-5p	0.869905076485568	0.793230175358413	-0.9622510853707349	0
mmu-miR-18a-3p	-0.172998107296194	-0.150844467078664	-1.03321937789368	0
mmu-miR-192-5p	1.0261875486185799	0.351021242739721	-0.826782854712369	0
mmu-miR-193b-3p	0.0	0.42993263436632395	-1.6982250344971601	0
mmu-miR-1981-5p	1.52429293551631	-1.7340657084054198	0.0	0
mmu-miR-1983	0.793981375691783	0.42705428762693004	-1.4084135140041598	0
mmu-miR-23a-5p	0.47046349498103707	0.25584690812043	-0.424902107606711	0
mmu-miR-28a-3p	1.63994293004913	-1.8089950783908	0.0658936915812336	0
mmu-miR-28a-5p	1.3516243614160202	0.9219805485739541	-0.672166831833473	0
mmu-miR-301a-5p	-0.186485570048738	-0.15161921541266402	-2.00986547367875	0
mmu-miR-301b-3p	-0.0838933871047383	0.0	-1.1657415208035	0
mmu-miR-30a-3p	-0.0211019018044434	0.0	-0.436674963189254	0
mmu-miR-30b-3p	-0.153019376705382	0.0	-1.11841885966881	0
mmu-miR-32-5p	0.12009612215038198	-0.537679387958255	-1.50093607871145	0
mmu-miR-329-3p	0.37787516319114395	0.0	-0.773064778293034	0
mmu-miR-33-3p	0.203322385279192	0.0	-1.31310420018853	0
mmu-miR-33-5p	0.0	0.0	-2.2610515208042403	0
mmu-miR-330-5p	0.426798542578979	0.0	-0.70649278721607	0
mmu-miR-3470b	0.0	0.0	-1.04236043623624	0
mmu-miR-34a-3p	0.0	0.0	-1.71191007574393	0
mmu-miR-34a-5p	0.9014248183678449	1.11747450140671	-1.84341227585832	0
mmu-miR-351-5p	0.273468499735723	0.207224141006853	-0.797571799701293	0
mmu-miR-361-3p	0.0375119768608873	0.0	-0.64980869048183	0
mmu-miR-362-3p	0.0	0.21496863383487	-0.741117077228888	0
mmu-miR-376b-3p	0.371123886916271	0.213986943692814	-0.36794633661508896	0
mmu-miR-378a-3p	0.5927086069395779	0.428299800356225	-0.4299068609408879	0
mmu-miR-378a-5p	0.704696632841552	1.16015594585211	-0.7281639501762429	0
mmu-miR-3963	0.0	0.7715940943794499	-0.875738499467784	0
mmu-miR-421-3p	1.42707794997975	0.863636966601508	-1.16701166502424	0
mmu-miR-433-3p	0.356478618714046	-0.42633300831674503	-1.20335949491328	0
mmu-miR-434-5p	0.23399890852588395	0.0	-0.6296778258568371	0
mmu-miR-455-5p	-0.20937625957947	0.5925682361609399	-1.72748155969109	0
mmu-miR-467e-5p	0.588545562211213	1.05351848864577	-2.55656332399212	0
mmu-miR-485-5p	0.388402295673238	0.0	-0.26800240267862496	0
mmu-miR-497a-5p	0.18060179970082502	0.0	-1.32868749882284	0
mmu-miR-501-3p	0.9254375805836851	-0.779483555698335	-0.430879900862513	0
mmu-miR-503-5p	-0.100299359717483	-0.22369307425422302	-1.4585173525193402	0
mmu-miR-532-5p	0.5539095536225179	0.1281885387283	-0.358652612143934	0
mmu-miR-615-3p	0.6939948329452221	0.0	0.0	0
mmu-miR-6516-3p	0.36907173474170396	0.0	-0.125562665767427	0
mmu-miR-652-3p	1.02531838833562	-0.531395854938687	0.658125270632509	0
mmu-miR-665-3p	0.14252940299053102	0.0	-0.6132125181955179	0
mmu-miR-671-5p	-0.32122557760727505	-0.491128352522751	-1.71130942744609	0
mmu-miR-702-3p	0.6908281401857829	0.125293577976043	0.104404714097453	0
mmu-miR-744-3p	0.0	0.0	-1.14899987134982	0
mmu-miR-871-3p	0.29441478201081	0.432422265787479	-0.25581670867796	0
mmu-miR-871-5p	1.2280255057398601	-0.0585537988865635	0.988956171441299	0
mmu-miR-877-5p	0.17831676224715098	-0.8437887049144269	-1.16574930006031	0
mmu-miR-881-3p	0.601735654420695	0.299870746413211	0.21740207298334804	0
