	diapaused_TE	mTor_TE	paused_TS	cluster
mmu-miR-1187	-0.9176474814692651	-0.593638809758055	-1.01735831512641	7
mmu-miR-1306-5p	-0.6232108213603721	-0.662860098998444	-0.579500026910936	7
mmu-miR-146b-5p	-1.2096735754493102	0.16147922090599098	-1.00043921750566	7
mmu-miR-152-3p	-0.43940701773000107	-0.902265655882773	-0.429094113861796	7
mmu-miR-186-5p	-1.1598357059913502	-0.8198167068289081	-0.144456077178367	7
mmu-miR-297b-5p	-1.2694255040148401	-0.8857634272614621	-0.8402557229289029	7
mmu-miR-323-3p	-0.902727382886088	-0.22446946353463798	-0.8214176643357008	7
mmu-miR-34a-3p	-0.804240820285836	-0.465671048245048	-0.526455792561697	7
mmu-miR-382-5p	-1.77600645842759	-0.8925865267032841	-0.0577885907894737	7
mmu-miR-409-3p	-1.2532249371431399	-0.5312961651016129	-0.7999515560019911	7
mmu-miR-466m-3p	-0.820624897762227	-1.43003056218082	-0.9093771383647409	7
mmu-miR-467d-5p	-0.9835298636453008	-0.716656263005072	-0.0208683425760619	7
mmu-miR-484	-1.3445506946324501	-0.665740236423673	0.42609185668159	7
mmu-miR-503-3p	-0.685070410304251	-0.548283495598479	-0.500423824580452	7
mmu-miR-574-5p	-1.3452179747246498	-0.8833344195888778	0.45933292093545103	7
mmu-miR-669a-3-3p	-1.06600582371054	-0.31073182535182897	-0.407984183951135	7
mmu-miR-743b-3p	-0.8620482432442479	-0.8899310185411149	0.0	7
mmu-miR-96-5p	-0.701741341286318	-0.6510495434022521	-0.8166776245087959	7
