	diapaused_TE	mTor_TE	paused_TS
mmu-let-7b-5p	1.1680001621437568	1.270090046541292	-2.739517723137693
mmu-let-7d-3p	0.3669855361336326	0.15020315855089408	-2.6546996838574097
mmu-let-7d-5p	3.492705645856923	2.1302029070741426	-1.062974403188445
mmu-let-7e-5p	-0.8692508625607936	-1.6304264397838961	0.7510279050773205
mmu-let-7f-5p	1.2898679877250516	3.2752291899756205	-1.5174295244576237
mmu-let-7g-5p	1.523460773039317	0.4129708085469479	-0.3360717326377649
mmu-let-7i-5p	2.138304493507442	1.204002787446934	-0.9150489852059686
mmu-miR-101a-3p	1.1911660357907021	1.6306327219873815	0.20545080663971116
mmu-miR-101b-3p	-0.6677891018556336	-0.2968000239464093	0.9545971669602773
mmu-miR-101b-5p	0.08256603550808078	0.15020315855089408	0.3638250218703052
mmu-miR-106b-3p	2.0512204417547717	0.38534142417412665	0.7232892089958097
mmu-miR-106b-5p	-0.14123578821314978	-1.1045219110204603	0.33722722512538333
mmu-miR-1187	-1.2050873433237874	-0.5772767510496247	-0.8169457041124227
mmu-miR-1195	-0.7656676904318171	-0.15441887637880844	-0.6313536981573907
mmu-miR-1198-5p	1.4144500712231416	1.8693013933909142	1.3586350275315169
mmu-miR-1247-5p	0.08256603550808078	0.15020315855089408	0.8607668945108753
mmu-miR-125a-3p	-0.6786593931622702	-0.17893381170858316	0.08837063066053515
mmu-miR-125a-5p	-0.7207189513139031	-1.3504311149775992	1.4044689941797739
mmu-miR-126a-3p	1.0502732449614125	2.236681923799123	0.07226991100591762
mmu-miR-126a-5p	-0.6824551394149563	1.003096250337487	-0.5348095682970918
mmu-miR-127-3p	-0.4531676752731124	0.15020315855089408	-1.0049136699704706
mmu-miR-127-5p	0.08256603550808078	0.15020315855089408	-2.5653666863817732
mmu-miR-129-2-3p	0.08256603550808078	0.15020315855089408	0.1742554899941775
mmu-miR-1306-5p	-0.7919304743765208	-0.6621045898150066	-0.39034511346926953
mmu-miR-130a-3p	-0.5984973167195102	-1.380233231067226	0.5873698900802242
mmu-miR-130b-3p	-1.8506132654828464	0.5160875794634585	0.6455111244320583
mmu-miR-130b-5p	0.08256603550808078	0.15020315855089408	0.224558888565149
mmu-miR-132-3p	0.3973478612157702	0.15020315855089408	-0.2060721374221756
mmu-miR-134-5p	0.08256603550808078	0.15020315855089408	-0.8982604346301795
mmu-miR-135b-5p	4.788975325825768	0.15020315855089408	0.7332090721450483
mmu-miR-136-3p	0.08256603550808078	0.15020315855089408	-0.7255402380962215
mmu-miR-140-3p	-0.8138411015702263	-0.13523785977534475	0.7052463529399585
mmu-miR-140-5p	-1.0916015999393067	-1.9559306604429902	0.49687755496988645
mmu-miR-141-3p	2.0260215164525333	0.6372807021569694	0.8646323467635672
mmu-miR-141-5p	0.12328446376476425	-0.6589470984443817	1.8591658575339558
mmu-miR-142a-3p	0.08256603550808078	0.15020315855089408	-1.9809150202323043
mmu-miR-142a-5p	0.08256603550808078	0.15020315855089408	-1.6105381893880613
mmu-miR-143-3p	2.066075984125	1.0986023514690326	-0.23480848641874288
mmu-miR-144-3p	0.08256603550808078	0.15020315855089408	-0.3126726705452985
mmu-miR-145a-5p	-0.47200240525628967	0.05739617756916529	-1.7049414140880863
mmu-miR-146a-5p	0.4673108351858652	0.15020315855089408	0.8460969793222233
mmu-miR-146b-5p	-1.6148616784730656	0.3480892925031707	-0.8004616104400671
mmu-miR-147-3p	0.05825879748968336	0.5453197750685116	0.15589442993215913
mmu-miR-148a-3p	2.0489388710784775	2.4767615129977063	1.4723980903272178
mmu-miR-148b-3p	-0.8029826303802919	-0.9731967018638222	0.9754512987483844
mmu-miR-148b-5p	-0.02719433042133351	0.15020315855089408	0.07783328244871553
mmu-miR-150-5p	0.08256603550808078	0.9784476852351709	-1.987015518070773
mmu-miR-151-3p	0.3815843349479783	-0.024910979414958238	-0.14210779176418267
mmu-miR-151-5p	0.22124314914947318	0.5196105438745142	0.6993425913920325
mmu-miR-152-3p	-0.534014887436915	-0.95548623875244	-0.24380626044335493
mmu-miR-153-3p	0.08256603550808078	0.15020315855089408	0.1955512767708671
mmu-miR-154-3p	0.08256603550808078	0.15020315855089408	-3.18667705293732
mmu-miR-155-5p	-1.0475104792542345	1.8344990881443175	0.1742554899941775
mmu-miR-15a-5p	0.13724882296965873	-0.12111435945693814	-0.7816899748790642
mmu-miR-15b-3p	-0.7656676904318171	-0.15441887637880844	1.078038284865927
mmu-miR-15b-5p	-0.8158049288871887	-0.6696721421215557	1.2996949756009701
mmu-miR-16-1-3p	0.08256603550808078	0.15020315855089408	-1.5934956708708903
mmu-miR-16-2-3p	0.08256603550808078	0.15020315855089408	1.5991273267234192
mmu-miR-17-3p	0.09415624166369793	-0.35508785386685915	1.1842994762629335
mmu-miR-17-5p	0.7257647920590021	-0.7023911935645776	0.6401954068328489
mmu-miR-181c-5p	0.41727166633112145	0.7366116615698789	0.8842852962505897
mmu-miR-181d-5p	-0.6374393467805782	0.31468862861167923	0.871505221317176
mmu-miR-182-5p	-0.6387004872528168	-0.2386982234221123	-0.07471793970193744
mmu-miR-183-5p	-0.4148786261204318	-1.0746025525639649	0.41877077563872916
mmu-miR-1839-3p	0.0020565485985747003	0.15020315855089408	1.5542223476741808
mmu-miR-1839-5p	1.3770116808870423	3.448512042176409	-0.6491943985745933
mmu-miR-1843b-3p	0.08256603550808078	0.5465152117189708	0.1742554899941775
mmu-miR-185-5p	0.33913746923560495	-0.4448176848668329	-0.5667244222056506
mmu-miR-186-5p	-1.5449286134374884	-0.8544484477279465	0.0335134976535916
mmu-miR-188-5p	1.3810658095705561	0.15020315855089408	-0.3220617318487999
mmu-miR-18a-3p	0.0371905054306681	0.15020315855089408	1.4379621596569745
mmu-miR-18a-5p	-0.33832256197585314	-0.33738916682388637	0.9755017205510181
mmu-miR-191-5p	-0.23578754453650633	-0.3877329615309008	0.4527305850155817
mmu-miR-192-5p	-0.5857964353732604	-0.006208148943950017	1.9542097620467276
mmu-miR-193a-5p	-0.19646902675425842	-0.12661321356587085	-1.1846928025817076
mmu-miR-193b-3p	0.08256603550808078	0.15020315855089408	-1.1092020674759737
mmu-miR-1949	-0.3596941018451214	-0.028620160849736377	-2.378676066292646
mmu-miR-195a-5p	0.08256603550808078	0.962561484008699	-0.5155119894265197
mmu-miR-1981-3p	-0.025120566756477437	0.15020315855089408	0.270459909389386
mmu-miR-1981-5p	0.8366557494858126	-2.041364018796133	-1.3923450240916424
mmu-miR-1983	-0.17645157778968357	-0.6623435384557348	-1.0721730280206256
mmu-miR-19a-3p	0.030018248623439072	-0.744047529731486	1.1952621374798418
mmu-miR-19b-3p	0.08256603550808078	0.15020315855089408	0.7374507218722351
mmu-miR-200a-3p	0.8046628197367578	0.10877078565160934	0.32277433313707204
mmu-miR-200a-5p	0.5683544090981892	-0.33656839904980557	-0.15201595013116864
mmu-miR-200b-3p	0.5353090899397641	-0.05903401035235431	0.15001095732401382
mmu-miR-200b-5p	-0.5666650903868414	1.0141347973429695	-1.5746816820906324
mmu-miR-200c-3p	0.9758081103257402	0.7904792796912601	2.359993029618401
mmu-miR-203-3p	0.17070049342540813	1.1299482891680435	-1.7218177819286407
mmu-miR-203-5p	0.08256603550808078	0.7553637582350112	-1.6032902267798195
mmu-miR-205-5p	-1.8092666941533408	0.5659246313734814	0.11218879266614848
mmu-miR-20a-3p	0.4523331747722488	0.15020315855089408	0.6370387892181606
mmu-miR-20a-5p	-0.6779005574073941	-0.09718323369893275	0.6135660622380328
mmu-miR-20b-5p	0.08256603550808078	0.15020315855089408	-2.7256529142873456
mmu-miR-210-3p	1.2191921100356622	0.15020315855089408	-1.088588956964759
mmu-miR-2137	-4.1052352614185725	-2.065746761858041	-2.1095813343536296
mmu-miR-214-3p	0.08256603550808078	0.15020315855089408	-1.4510616242155598
mmu-miR-21a-5p	0.5726305704078284	0.14054207880730837	1.8074295385437897
mmu-miR-22-3p	0.18734739152491833	1.8280325011882912	0.7202663386934961
mmu-miR-22-5p	0.35030483027492226	-0.20248869409100725	1.077489803585433
mmu-miR-221-3p	-1.6078632658758505	0.9312438529526558	-2.7703256940521364
mmu-miR-222-3p	-0.4637562477056563	-0.2329731331040792	1.7748690451612301
mmu-miR-222-5p	0.14904759666198128	0.15020315855089408	-0.3136634567046848
mmu-miR-224-5p	0.08256603550808078	0.15020315855089408	0.24442333441977165
mmu-miR-23a-3p	3.1790279778192003	3.0276992511129097	0.1729953970566995
mmu-miR-23a-5p	1.1268355109821906	0.15020315855089408	0.48134969541745737
mmu-miR-23b-3p	-0.015720800108415513	0.14566656386809249	0.44502423846591116
mmu-miR-24-1-5p	0.08256603550808078	0.5269880309613284	0.5253914583198366
mmu-miR-24-2-5p	1.0610635622028932	-0.565570271913574	-0.38015832727408255
mmu-miR-25-3p	2.028757319153432	1.6549180933898286	0.9324749357892955
mmu-miR-25-5p	1.1171839666483754	0.8444460780113762	-0.5847264082321846
mmu-miR-26b-5p	1.147197127509466	1.851542434015796	0.47862558472440664
mmu-miR-27a-3p	2.3992225947840424	1.3491295456063577	0.5639872139498701
mmu-miR-27a-5p	0.12213173287047054	0.05626235526407393	-0.02902320750376889
mmu-miR-27b-3p	0.44190075507198495	-0.18233788982973043	0.5727613019311568
mmu-miR-27b-5p	0.4000530358679642	0.15020315855089408	0.0873760789682964
mmu-miR-28a-3p	1.4989467112783732	0.15722029415916378	1.260151572219053
mmu-miR-28a-5p	0.911462550417134	0.25804787346862684	1.1249283727124189
mmu-miR-290a-5p	-0.7195154453389073	-1.828163755153835	0.22497628283844137
mmu-miR-291a-3p	0.5602343061550635	0.20511936426316937	-0.20652820687776718
mmu-miR-291a-5p	-0.48026414976394693	-0.782963357101598	0.5947130835975202
mmu-miR-291b-3p	0.14628517752341982	-0.7487433518287279	-0.42785481068980863
mmu-miR-291b-5p	-0.6954751736321031	-1.153139699619834	0.43921668529121094
mmu-miR-292a-3p	0.22022352469938444	0.09960989707531373	0.5211154523594972
