cluster	mean.diapaused_TE	mean.mTor_TE	mean.paused_TS	mean_profile	N_tot
0	-0.06465782145099054	0.15539685294320152	-2.306847914470129	discordant	27
1	2.5649991276570026	1.4043274807693025	-0.004316484564117706	discordant	4
2	-0.33796434651757495	-1.4703139014383892	0.22591111524801125	discordant	35
3	0.9824390614168341	1.3416240441934886	0.22555329465465387	positive	22
4	0.17829583699084964	-0.04033747346526084	-0.9846529999977918	discordant	50
5	-0.32671829872891467	-0.24784488858308018	1.2012197114348504	discordant	40
6	0.044487720714026395	-0.01422873610004487	0.10480139103640704	discordant	114
7	-1.009121608559321	-0.6618136691944639	-0.4437013007536155	negative	18
8	-0.6194229551757063	0.7831585176049088	-0.17211073488652204	discordant	12
9	-2.572093908394988	-2.3760628179398995	-1.952739178498834	negative	5
