Gene names	E14_Pause1	E14_Pause2	E14_Pause3	E14_WT1	E14_WT2	E14_WT3
Ahnak	14.300864215614473	12.780124059654216	14.6583756730113	14.79986601909228	15.850174162561954	14.289079487798984
Dync1h1	7.0783653141936425	8.436056486736176	7.182831576552665	7.038017082565735	5.780662584971382	6.5036844648465815
Flna	23.30599091841219	25.268246007654746	26.52400090998711	16.692011388377157	15.076186530405561	14.25374486590964
Mdn1	9.888970265123774	13.36841757951696	11.455524380071282	9.458047228269972	7.2080283570409245	8.369775308045421
Flnb	11.482642449099165	9.7977431701201	10.59285660119815	11.440964662535588	10.922677960379936	11.442981396472577
Myh9	8.257799912113667	9.695129998680217	10.115416698263441	9.363590688326914	7.991836609430864	7.17323024885238
Mki67	3.7483521312435917	4.603075095684308	4.0336695230150905	3.6050912744933847	3.3620279580782273	3.1864580816622374
Ranbp2	10.497729603046727	10.148805595882274	11.093652839918102	10.74627365600402	11.602449017170741	11.331541435129258
Dst	1.146887359015673	1.2171373894681272	1.1662394782740577	1.4776754312510467	1.427243014316623	1.4975839574776517
Prpf8	24.71187930276842	29.557542563019666	23.992720103131873	20.128956623681127	17.572465436020195	18.32024643633728
Sptbn1	6.735315658415116	7.040715322687079	7.9599605672252975	8.394573773237314	7.935061148705673	8.065655955544818
Snrnp200	9.530686978174893	14.21736835159034	11.851065443239554	10.131636241835539	7.82887569243045	7.424800676491906
Tln1	10.838728577706167	6.976375874356606	9.1477970728748	8.765365935354213	10.070739155119766	10.981819280019328
Ttn	7.047312142961769	5.384057014649597	5.870630166072647	5.372634399598057	4.939158188709356	5.347306112587582
Myh10	3.203163908012304	3.867625709383661	4.409190869796011	3.885781276168146	3.3512866546977857	2.98640976081179
Fasn	16.897905375714075	22.53893361488716	18.386289527565026	38.22475297270139	32.19628964691801	32.15148586615125
Top2a	14.845759484400176	17.565989177774846	15.56047622658679	19.19778931502261	16.544062360938483	15.95886687605702
Plec	5.918558664127728	6.2841493994984825	5.867596875710928	7.630547646960308	7.328024060519573	7.3511113795602805
Gcn1l1	5.56437673941702	5.343473670318068	5.446576173504209	6.002679618154413	5.22180791480612	5.465994201497947
Huwe1	8.327816024608174	8.543948792398046	7.991203457951013	4.553006196616982	4.21703570716138	4.553938149311428
Rif1	12.094038377032371	13.057938498086314	13.448092818685069	10.772399933009547	11.580045727262963	11.393150519449142
Numa1	8.551340266588545	9.436782367691698	9.631000227496777	7.512644448166136	6.939802666912183	7.000785213819763
Utp20	4.389629412626337	6.672825656592319	4.996739212861151	6.353374644113214	5.47560956896684	6.070306837400338
Akap12	11.308920462868024	12.110663851128415	12.730416319102146	13.734382850443811	14.998849146066382	12.092896834984296
Eef2	107.97714955324447	149.53807575557607	133.89246985667702	266.2937531401775	230.80298915128358	191.6344527663687
Eprs	21.037644646257508	19.851194404117724	21.312201410480018	32.39825824819963	30.01120164495389	29.873459772892
Ubr4	2.4567745715541234	2.610432889006203	2.3341472662470615	2.894456539943058	2.5446761497030796	2.9431021985986954
Chd4	13.01567306283873	14.457239012801901	13.855463714264047	12.376151398425725	13.12587273089966	12.976866392848514
Ckap5	2.594873297202285	2.9832057542563017	2.707514976871161	2.8658851113716297	2.668293206892848	2.574806716598212
Hsp90ab1	155.62326058297936	264.35264616602876	193.3783271403655	351.2644448166136	291.43304331814204	229.98006764919063
Hspa4	37.76475758019628	39.6594958426818	40.4883597482369	56.184893652654495	53.16331384554006	50.38052669726987
Mybbp1a	32.901713783506665	47.865250098983765	36.35398498521271	42.029810751967844	30.63634550169559	30.03473061125876
Cltc	16.6456715980665	35.142536623993664	21.403200121331615	23.76720817283537	14.424649756786202	15.617298864460015
Iars	6.753185879595723	7.371980995116801	8.043982710244938	10.357394071344833	8.122266721907655	8.722215510992994
Msh6	45.99384795664274	53.50072588095552	51.857132023963	41.915926980405295	42.83017999355522	42.10860111137956
Pdcd11	9.58488355060788	13.962650125379438	12.882687495260484	15.548819293250713	12.611210851785358	12.289804300555689
Cenpf	1.1794053024754652	1.1753992345255377	1.1428831424888148	1.0836710768715458	1.153431846430051	1.1513952645566563
Hsp90aa1	94.66237000146477	168.8531080902732	130.61348297565783	211.70658181209177	160.16204023385353	131.19714906982364
Lmnb1	39.3291343196133	55.939025999736046	54.42936225070145	43.21889130798861	36.46825944851079	27.76123459772892
Lrpprc	8.753478834041307	10.865778012405965	10.347463410935012	11.172332942555686	10.355230247510319	10.427035515825079
Cand1	21.93115570528783	33.14306453741587	23.801016152271178	26.40428738904706	20.963034571652166	21.112889586856728
Iqgap1	4.927493774718031	4.8290880295631515	4.876317585500872	5.722324568748953	5.698107996133131	6.8742449867117665
Eif3a	6.747619745129632	13.841230038273723	8.829604913930385	19.067827834533578	12.200893062652488	10.500724812756705
Polr2a	29.415555881060495	28.66074963705952	30.375369682262836	18.7425891810417	21.336831929291534	21.89327132157526
Smc1a	6.334553976856599	7.096806123795697	6.43876545082278	5.439959805727684	4.607098467062561	4.738463396955787
Ddx21	37.67394170206533	44.816550085785934	39.59657238189126	60.87422542287724	49.88568184259387	47.605097849722156
Heatr1	5.140178702211806	7.085587963573974	5.196026389626147	7.49690169150896	5.658825515198944	6.424861077554965
Mthfd1	18.00790977003076	18.67856671505873	19.130962311367256	21.91492212359739	21.10236462121561	19.21871224933559
Parp1	36.08905815145745	38.82473274383001	38.95958140593008	28.394238820968013	24.774355905415153	25.1778811307079
Smarca5	16.091694741467702	22.00013197835555	19.94964737999545	22.24351029978228	19.04893430925747	17.323628895868566
