	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE	cluster
mmu-let-7e-5p	-0.394131861968568	-1.40011024569703	-0.6783132741244	-1.45303096542678	3
mmu-miR-106b-5p	0.258165968721989	-1.12430293594528	-0.15949259580425598	-1.02388187913389	3
mmu-miR-147-5p	-0.6774581554803929	-0.9371446083489101	-0.804960622038188	-2.68767456616835	3
mmu-miR-183-5p	0.10756307599799302	-1.12347374314071	-0.354504440727553	-0.99946705735195	3
mmu-miR-1981-5p	1.52429293551631	-1.7340657084054198	0.5374027965983371	-1.7883646180408301	3
mmu-miR-28a-3p	1.63994293004913	-1.8089950783908	1.00938511969847	0.00572612930670699	3
mmu-miR-290a-5p	-0.567515717781958	-1.05770090878831	-0.571604177748585	-1.6143887472594398	3
mmu-miR-291a-5p	-0.511541441881063	-1.3591384648836202	-0.401101500217625	-0.7614833789186222	3
mmu-miR-291b-5p	-0.39619479258386403	-1.3705399941955598	-0.5544718538264449	-1.06355501068889	3
mmu-miR-291b-3p	-0.015539093631298	-1.23859689040227	0.0454095109390406	-0.7335591394557671	3
mmu-miR-297b-5p	0.237951504543184	-0.554650137777645	-1.2694255040148401	-0.8857634272614621	3
mmu-miR-298-5p	0.324620937153216	-2.52387902266145	-0.7844806705658629	-1.8736357311581	3
mmu-miR-301a-3p	0.45385693634203206	-1.12051446875168	-0.8945099831870921	-1.27072194677672	3
mmu-miR-324-5p	1.0310967887488	-0.601569914538314	0.8626296923138601	-0.8783897116840409	3
mmu-miR-330-3p	0.44079654629524395	-1.0625326737152199	-0.137807755622821	-0.7918212460265541	3
mmu-miR-351-5p	0.273468499735723	0.207224141006853	-0.801242626879854	-3.2486509040424503	3
mmu-miR-351-3p	-1.23579275785629	-0.7665844275054979	-0.305105878175357	-2.45765811582936	3
mmu-miR-423-3p	-0.180791390457614	-0.0141797141955508	0.383578903783515	-2.0884056438572602	3
mmu-miR-467c-5p	0.36513914155058796	-0.7764705749995241	0.0496607094917438	-0.9005929935729079	3
mmu-miR-500-3p	0.266586679690351	-0.566939684039689	-0.252400145193709	-1.7636390991293	3
mmu-miR-501-3p	0.9254375805836851	-0.779483555698335	0.161296514540371	-1.8745741425178601	3
mmu-miR-503-5p	-0.100299359717483	-0.22369307425422302	-1.4512454224492999	-3.19807210509812	3
mmu-miR-5099	0.904865748734578	-1.7280340739011597	0.00886214017145534	-0.730531035107323	3
mmu-miR-532-5p	0.5539095536225179	0.1281885387283	-0.328266565999116	-1.46604824322976	3
mmu-miR-542-3p	1.6571336763729	0.0	-0.0862629386287569	-2.8291569417332	3
mmu-miR-672-5p	-2.38148719297594	-3.18142466773305	-1.8393259646948599	-3.7766836582791297	3
mmu-miR-744-5p	-0.128067527518642	-0.960194496905711	-0.530636821546213	-1.19010862583711	3
mmu-miR-877-5p	0.17831676224715098	-0.8437887049144269	0.6862053258144469	-1.8576630825153202	3
mmu-miR-93-5p	-0.270837335394906	-1.7166859935677201	-0.17379389805679601	-1.35680925079084	3
mmu-miR-99b-5p	0.45188502638530204	-0.8177228219685009	-1.27337084002031	-2.1170366095148	3
mmu-miR-466f-3p	0.00178501875787513	-2.2540500197162996	-1.17277473114217	-2.2194720950341003	3
