	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE	cluster
mmu-let-7d-5p	1.9944761625411	0.39209010866500704	2.43023943891953	1.61572117459579	2
mmu-miR-10a-5p	1.6799125068837601	2.31794207059385	1.72547437497475	1.5604218552737599	2
mmu-miR-10b-5p	1.8779270200250602	2.8114179549384097	0.7883737619135659	1.96564082402668	2
mmu-miR-148a-3p	0.8387474439276241	1.16170371846325	1.40133758809199	1.8985202397202803	2
mmu-miR-1839-5p	2.0260155011234002	1.5978297493590803	0.922487997086956	2.69148898003942	2
mmu-miR-23a-3p	1.31305623479825	2.9790068242222296	2.2066967318525896	2.34809694801055	2
mmu-miR-29a-3p	-0.593565019816707	3.63689476204919	1.13332024182998	2.96538949032501	2
mmu-miR-30b-5p	1.40725835304099	2.20402615537196	2.26903300375592	1.65349180047087	2
mmu-miR-30d-5p	1.32338581078125	1.1265635753794099	1.4277225953760002	1.49242620508102	2
mmu-miR-676-3p	2.49775402424665	1.4194333277084101	0.35542720880950207	1.9958055918858502	2
