	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE	cluster
mmu-let-7b-5p	-0.284797051176397	1.64040563089262	0.773535727069354	0.913851104995241	0
mmu-miR-100-5p	-1.0687503354046999	1.09645268976437	0.7706864033276708	1.11326171446569	0
mmu-miR-101a-3p	-0.961005543253303	0.8055557157765358	0.7900449103306441	1.20806146310167	0
mmu-miR-10b-3p	0.3077289485110711	1.2897382875465901	0.033299878758945	1.0654750644536601	0
mmu-miR-126a-3p	0.569900953126744	-0.21294752867375896	0.6896375205881011	1.7026102775368401	0
mmu-miR-135b-5p	-0.621287852723938	-1.37550862742733	3.3540273360999704	0.0	0
mmu-miR-143-3p	-0.8449985038971078	0.7641323362662341	1.41355036901993	0.773913561913466	0
mmu-miR-150-5p	0.0899709920378494	1.77884258777567	0.0	0.675864843167247	0
mmu-miR-188-5p	0.33594966152452405	-0.42499319648038203	0.925377175989553	0.0	0
mmu-miR-210-3p	0.610921058263816	0.0	0.810017720458855	0.0	0
mmu-miR-22-3p	0.0705453482926049	1.1060602509605901	0.0746725392364619	1.3691438083662701	0
mmu-miR-23a-5p	0.47046349498103707	0.25584690812043	0.7441996968263079	0.0	0
mmu-miR-25-5p	-1.29024652287179	0.308624424586041	0.737321514004896	0.5665167311875191	0
mmu-miR-25-3p	0.0230460549204358	0.7652842439272309	1.38695518472117	1.2278788337034199	0
mmu-miR-26b-5p	0.563257154946317	1.4569487415980402	0.7587104234178442	1.3883284048850602	0
mmu-miR-27a-3p	-0.0290784220278319	2.43011422819018	1.65096763771737	0.9783489880702859	0
mmu-miR-30a-5p	-0.7105039939064641	-0.0623041773655639	0.617994886600266	0.159437086296384	0
mmu-miR-324-3p	-0.73257653348881	-0.437635890536928	1.31946796068089	0.680754456208823	0
mmu-miR-328-3p	-0.401734006530511	-1.3182822536285201	1.09825808522093	-0.15882649687569697	0
mmu-miR-361-5p	0.47412126029803203	0.624316774875808	0.5298868517401141	0.8776910160921959	0
mmu-miR-375-3p	0.0	0.0	0.7467782447111629	0.0	0
mmu-miR-378a-3p	0.5927086069395779	0.428299800356225	0.591877818484567	0.15967276243348	0
mmu-miR-3968	-1.26178152891676	0.18965484096978302	0.4914518546961021	0.377761550539271	0
mmu-miR-434-3p	1.01230252838678	1.19765997205317	0.0	0.9893623458919251	0
mmu-miR-463-5p	-0.0370225059918923	-0.19988838444614898	0.624550600383662	0.0	0
mmu-miR-499-5p	-0.150020202478589	0.0	0.98781588579427	0.0	0
mmu-miR-708-5p	-0.6555595082971379	-0.465303423660557	0.43863492603530296	0.0	0
mmu-miR-8109	-0.30120687000059	0.0	1.18390569422452	-0.44151711664165005	0
mmu-miR-877-3p	-0.46653930889913	-0.48233318926108204	0.6773238602572459	0.0	0
mmu-miR-878-5p	0.6490232335475339	-0.39749398289811605	1.1466119882241201	1.11827992527618	0
mmu-miR-878-3p	-0.169438281532823	-0.676568854381151	1.10480613789426	0.48218352376880697	0
mmu-miR-93-3p	0.0	0.0	0.5316248486955979	0.0	0
mmu-miR-99a-5p	0.0	1.81182010715813	0.8147559656665	0.40848812900175197	0
