	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE	cluster
mmu-let-7b-3p	0.0	0.421670632942209	-0.076140742898369	0.0	1
mmu-let-7d-3p	0.22428877362217103	0.199053736021308	0.20269184449820998	0.0	1
mmu-miR-101b-5p	-0.7316258041646659	-0.32405348020299896	0.0	0.0	1
mmu-miR-101c	-0.20502598205386102	0.0	0.1000089248423	0.307224639366657	1
mmu-miR-1187	0.0	0.0	-0.9176474814692651	-0.593638809758055	1
mmu-miR-1195	0.0	0.0	-0.604494621846267	-0.248577946765633	1
mmu-miR-122-3p	0.0	0.601051665072124	0.0	0.0	1
mmu-miR-1247-5p	-1.11372832488514	-0.5660490237912911	0.0	0.0	1
mmu-miR-1247-3p	0.0	0.0	0.0	0.333953268269145	1
mmu-miR-125a-3p	0.23364818885211103	0.0	-0.542488070883957	-0.26858264632971396	1
mmu-miR-125b-2-3p	-0.191287716555809	0.0	-0.0753422950657639	0.31684390902399	1
mmu-miR-126a-5p	-0.8181006385419459	-0.8504236425099759	-0.545193113286155	0.695978587418436	1
mmu-miR-127-5p	0.0	0.601051664154963	0.0	0.0	1
mmu-miR-127-3p	-0.89196060962457	0.129758970282785	-0.381791170293459	0.0	1
mmu-miR-129-2-3p	-0.534283094440055	-0.118479095604825	0.0	0.0	1
mmu-miR-1306-5p	0.263500321654142	0.0	-0.6232108213603721	-0.662860098998444	1
mmu-miR-130a-3p	-0.8735759294684828	-0.200977783841017	-0.485360486111277	-1.2488680783531398	1
mmu-miR-130b-5p	0.6869175489140229	-0.23057310841846398	0.0	0.0	1
mmu-miR-132-3p	0.17936174818549303	0.0	0.22432958614608298	0.0	1
mmu-miR-136-3p	0.0430425432267836	0.0	0.0	0.0	1
mmu-miR-137-3p	0.0	0.4146993371652629	0.0416765459540977	0.0	1
mmu-miR-140-3p	-0.11489480030962501	-0.272403737936102	-0.63882545196846	-0.232925836355213	1
mmu-miR-141-5p	-0.45405980889615105	-0.724506107648789	0.0290180290390178	-0.660283520051943	1
mmu-miR-142a-5p	-0.394050460476245	-0.17534873483080302	0.0	0.0	1
mmu-miR-144-5p	-0.8901711589111421	-0.560545740036146	0.0522218711606606	0.6744346546087739	1
mmu-miR-144-3p	-0.6957840030518979	-0.17477180378562301	0.0	0.0	1
mmu-miR-145a-5p	0.19598586509656002	0.0	-0.3952137596465779	-0.0757324360441591	1
mmu-miR-146a-5p	-0.0263059481809726	1.17552097441329	0.274188770236447	0.0	1
mmu-miR-147-3p	0.0	0.0	-0.0173225777338397	0.32242341657785495	1
mmu-miR-148a-5p	0.374290232477298	0.281042187585344	0.0	0.0	1
mmu-miR-148b-5p	-0.0774517398835134	0.23476414676198798	-0.0782208356814504	0.0	1
mmu-miR-151-5p	-0.0495421979454424	-0.470495018747697	0.0988283851558681	0.30144414662910807	1
mmu-miR-151-3p	0.83798597341499	0.0	0.213095693223877	-0.142896796271585	1
mmu-miR-153-3p	0.15375892501713598	0.0	0.0	0.0	1
mmu-miR-154-3p	-0.380748872863837	-0.345882516205577	0.0	0.0	1
mmu-miR-15b-5p	-0.0949604740519182	0.549022883387268	-0.640224975490144	-0.669035379834046	1
mmu-miR-15b-3p	0.0	0.0	-0.604494621846267	-0.248577946765633	1
mmu-miR-16-1-3p	0.0	0.771594093092235	0.0	0.0	1
mmu-miR-16-2-3p	0.307443262147193	0.0	0.0	0.0	1
mmu-miR-17-3p	0.681298713434961	0.0	0.00825977212754271	-0.41232802615516206	1
mmu-miR-181a-2-3p	-0.0176717678635795	0.23939964509893	0.0	0.0	1
mmu-miR-181c-5p	0.0	0.0	0.238528305992547	0.47852159375143893	1
mmu-miR-181d-5p	-0.5612622413506639	-0.264188883377315	-0.513112563181317	0.134223581133668	1
mmu-miR-182-5p	-0.32418301638873	-1.01119428871642	-0.514011316213114	-0.317351655297937	1
mmu-miR-1839-3p	0.551763474334273	0.0	-0.0573751671928301	0.0	1
mmu-miR-1843a-3p	-0.20937625074371397	0.0	0.0	0.668043769733621	1
mmu-miR-1843b-5p	0.0430425432267837	0.0	0.0	0.0	1
mmu-miR-1843b-3p	0.0	0.247923387932548	0.0	0.323398917867931	1
mmu-miR-1895	0.0	0.0	0.0	0.333953268269145	1
mmu-miR-18a-3p	-0.172998107296194	-0.150844467078664	-0.0323369173570953	0.0	1
mmu-miR-190b-5p	0.0	0.0	0.0	0.505408162934776	1
mmu-miR-191-5p	-0.762511428408377	-1.05973450808175	-0.22687500048317302	-0.438967116255598	1
mmu-miR-1934-3p	0.0301063755052668	0.0	0.129630809532452	0.0	1
mmu-miR-193a-5p	0.295532556278448	0.0	-0.198854619058231	-0.225887944802733	1
mmu-miR-193b-3p	0.0	0.42993263436632395	0.0	0.0	1
mmu-miR-1943-5p	-0.15002185616328198	0.24727774172594	0.0	0.0	1
mmu-miR-1949	0.0	0.409451435268845	-0.31517713374432	-0.145923565840146	1
mmu-miR-195a-5p	0.10197693425614901	0.6517265966169	0.0	0.662901370962443	1
mmu-miR-1968-5p	0.22958467557019396	0.0	-0.7654857456737121	-0.8200746065333999	1
mmu-miR-1981-3p	-0.345132164986448	-0.137955910705271	-0.0767429659103603	0.0	1
mmu-miR-19a-3p	-0.869553902397244	-0.644015461359454	-0.037448233417614	-0.7297272504869391	1
mmu-miR-200a-5p	-0.310526146245873	-0.32980933009405894	0.346197575279473	-0.397215763988361	1
mmu-miR-203-5p	-0.151046680784608	0.0	0.0	0.493823696528229	1
mmu-miR-20a-3p	0.0	0.23033282049032	0.263514925409258	0.0	1
mmu-miR-20b-5p	0.18827278868099	0.0	0.0	0.0	1
mmu-miR-214-3p	0.0	0.25847774066075796	0.0	0.0	1
mmu-miR-219a-1-3p	-0.12333463511616198	-0.19079952190660604	-0.0579187322954736	-0.0926906553774926	1
mmu-miR-22-5p	-0.419497279600648	1.4145868738652598	0.19080432261381797	-0.287803922624714	1
mmu-miR-222-5p	-0.537799051263217	-0.13387603830397302	0.0473781517292842	0.0	1
mmu-miR-23b-3p	-0.245896931716886	0.19021288407591297	-0.0700442127110965	-0.0037019560709682397	1
mmu-miR-24-1-5p	-0.0819582211798219	0.231988800337871	0.0	0.3074643302732539	1
mmu-miR-24-2-5p	0.0447926690956804	0.303006486870924	0.6973272510727769	-0.584086078130595	1
mmu-miR-27a-5p	-0.211879800229875	0.0	0.0281965342024803	-0.0766576587407435	1
mmu-miR-27b-5p	0.243510201097245	0.0	0.22625743159527698	0.0	1
mmu-miR-291a-3p	-0.77160350385712	-1.09417557999627	0.34041077571250394	0.0448127715490665	1
mmu-miR-292a-5p	-0.600682815122451	-0.673877082337588	-0.0838164042348414	-0.48628242524146703	1
mmu-miR-292a-3p	-0.607380777893296	-0.21352029123525698	0.098101748761284	-0.0412851587071789	1
mmu-miR-293-5p	-0.8775106898199109	-0.793710082595865	-0.256718060334149	-0.35799006551959095	1
mmu-miR-293-3p	-0.353659407433886	-0.315966113457594	-0.0293590136944746	-0.233130812595572	1
mmu-miR-294-5p	-0.0745550986616138	3.9377554890283705e-05	-0.243524480029437	-0.696465056256334	1
mmu-miR-294-3p	-0.149165249322161	0.16801519777380802	0.30937037211709695	0.0719251127707772	1
mmu-miR-295-3p	-0.14866228526257	0.30227766259207106	0.36208711982553793	0.25648756335213	1
mmu-miR-296-5p	-0.0717175907216782	0.24688149067818602	-0.7966895413040501	0.0834854033917735	1
mmu-miR-297c-5p	-0.210409549511077	0.0	-0.275204253535309	-0.29307245401868204	1
mmu-miR-299a-5p	0.0	0.25847773833376103	0.0	0.0	1
mmu-miR-29b-1-5p	-0.15104674312138097	0.0	0.0	0.49382371257545704	1
mmu-miR-300-3p	-0.47270751931488997	-0.339950760928224	0.0	0.0	1
mmu-miR-301a-5p	-0.186485570048738	-0.15161921541266402	-0.394359536033549	-0.07614368547728	1
mmu-miR-301b-3p	-0.0838933871047383	0.0	-0.5933011724801961	-0.26110062307579895	1
mmu-miR-302a-5p	-0.5342830926335851	-0.118479093798355	0.0	0.0	1
mmu-miR-302a-3p	0.0	0.429932635450301	0.0	0.0	1
mmu-miR-302b-3p	-0.6886171161549319	-1.4368532603498798	0.0	0.0	1
mmu-miR-3057-5p	-0.20701461692947898	0.0	-0.460010764811882	-0.260449460568014	1
mmu-miR-3057-3p	0.0	0.429932634416089	0.0	0.0	1
