	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE	cluster
mmu-miR-122-5p	-1.4618266657308001	-0.579410588165844	-1.23516202981518	0.577474973060693	7
mmu-miR-130b-3p	-0.506041632648627	-1.1044692253475	-1.3776821821351901	0.29856933404363395	7
mmu-miR-184-3p	-1.1693086984953	-0.367162351390258	-1.336059956384	0.153929796527866	7
mmu-miR-186-5p	-1.1189054560695602	-3.00787822144121	-1.1598357059913502	-0.8198167068289081	7
mmu-miR-2137	-2.20750742233657	-0.20206618861502	-2.98444082560843	-1.80826144595166	7
mmu-miR-296-3p	-1.1866950173088702	-2.1178828098212503	-1.1412311107221	-1.6668593470779898	7
mmu-miR-335-5p	-0.854992729527125	-1.41870553690905	-1.5784430727197098	-0.40727092471404097	7
mmu-miR-382-5p	-1.80096224769781	-1.21341791537817	-1.77600645842759	-0.8925865267032841	7
mmu-miR-3960	-1.10211737260648	-0.569750764760791	-1.00876145031267	-0.122644090949993	7
mmu-miR-409-3p	-1.2083045204083898	-1.08071476250223	-1.2532249371431399	-0.5312961651016129	7
mmu-miR-467d-5p	-0.7156516968382941	-2.34796899864009	-0.9835298636453008	-0.716656263005072	7
mmu-miR-484	-0.8780797927698101	-1.26268727347507	-1.3445506946324501	-0.665740236423673	7
mmu-miR-5126	-2.46541395996829	-0.132136290746354	-4.97444586002641	-1.68606291706138	7
