	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE	cluster
mmu-miR-1198-5p	-1.68017085585704	-2.64327806129557	0.9491685037877199	1.4028200868777299	6
mmu-miR-134-5p	-2.5109579311084302	-1.2113442776340602	0.0	0.0	6
mmu-miR-142a-3p	-2.00904429067042	-2.5931429331882403	0.0	0.0	6
mmu-miR-17-5p	-1.3057630196901	-2.43148045077711	0.45837624374391794	-0.695734809603473	6
mmu-miR-18a-5p	-1.6203267029952901	-2.6264135163741003	-0.29994668426268606	-0.39788552764514795	6
mmu-miR-20a-5p	-1.22153618755948	-1.82911224170212	-0.5419472858165171	-0.20187246617734197	6
mmu-miR-302d-3p	-1.6746581637601998	-2.46633421376722	0.0	0.0	6
mmu-miR-30e-3p	-2.07162969292148	0.131524597055736	-0.471559521516982	1.15487308289908	6
mmu-miR-340-5p	-1.49282445207456	-3.6534802698225897	-0.0191900551310295	-0.948194203459978	6
mmu-miR-451a	-3.4494225131392096	-2.97716061768668	-1.1434760980837901	0.42604573405046503	6
mmu-miR-5108	-2.7301841436805403	-0.7053042721538431	0.00751935115710677	1.2250279679516598	6
mmu-miR-5110	-1.9113039181844198	-0.20159328044323102	0.40062030011375005	1.03306070008844	6
mmu-miR-669l-5p	-2.14259989819739	-1.90704143109122	-0.00996487197718653	0.229571090710099	6
mmu-miR-8114	-2.8689087258095896	-2.5634263598896	0.35046103782495497	1.17589719869109	6
mmu-let-7f-5p	-1.38404511567374	-0.548077283662641	0.860384956105092	2.5500865512239703	6
